iter	Passed	Remaining
0	134	133960
1	134	67239
2	135	44976
3	135	33843
4	136	27183
5	137	22770
6	138	19593
7	138	17201
8	139	15337
9	139	13842
10	140	12618
11	140	11601
12	141	10738
13	143	10111
14	144	9483
15	145	8921
16	145	8423
17	146	7984
18	146	7589
19	149	7308
20	149	6986
21	150	6691
22	151	6420
23	151	6169
24	152	5938
25	152	5725
26	153	5527
27	154	5348
28	154	5183
29	155	5030
30	156	4884
31	156	4745
32	157	4614
33	158	4490
34	158	4373
35	159	4263
36	159	4159
37	160	4064
38	161	3973
39	161	3884
40	162	3799
41	163	3720
42	163	3644
43	164	3569
44	164	3498
45	165	3430
46	166	3366
47	166	3305
48	167	3246
49	168	3192
50	168	3138
51	169	3086
52	169	3037
53	170	2990
54	171	2943
55	171	2899
56	172	2861
57	173	2821
58	174	2780
59	174	2740
60	175	2701
61	176	2662
62	176	2626
63	177	2591
64	179	2579
65	179	2547
66	180	2515
67	181	2483
68	181	2453
69	182	2423
70	182	2393
71	183	2366
72	184	2339
73	184	2312
74	185	2287
75	186	2265
76	187	2241
77	187	2217
78	188	2193
79	188	2170
80	189	2147
81	189	2124
82	190	2101
83	190	2081
84	191	2061
85	192	2042
86	192	2022
87	193	2003
88	193	1985
89	194	1966
90	195	1948
91	195	1930
92	196	1912
93	196	1896
94	197	1882
95	198	1866
96	198	1850
97	199	1835
98	200	1821
99	200	1806
100	201	1791
101	201	1777
102	202	1763
103	203	1749
104	203	1736
105	204	1724
106	205	1711
107	205	1698
108	206	1686
109	206	1673
110	207	1661
111	207	1648
112	208	1636
113	209	1625
114	209	1614
115	210	1605
116	211	1593
117	211	1582
118	212	1572
119	213	1562
120	213	1552
121	214	1541
122	214	1531
123	215	1521
124	216	1513
125	216	1503
126	217	1493
127	217	1483
128	218	1475
129	219	1466
130	219	1457
131	220	1448
132	220	1439
133	221	1430
134	221	1422
135	222	1414
136	223	1406
137	223	1397
138	224	1389
139	224	1381
140	225	1374
141	225	1365
142	226	1357
143	227	1349
144	227	1343
145	228	1337
146	229	1330
147	229	1323
148	230	1317
149	231	1311
150	232	1304
151	232	1297
152	233	1290
153	233	1285
154	234	1279
155	235	1274
156	236	1267
157	236	1261
158	237	1255
159	237	1249
160	238	1242
161	238	1235
162	239	1229
163	240	1223
164	241	1221
165	241	1215
166	242	1209
167	243	1204
168	243	1198
169	244	1193
170	245	1187
171	245	1182
172	246	1176
173	246	1171
174	247	1166
175	248	1161
176	248	1155
177	249	1150
178	249	1145
179	250	1140
180	250	1135
181	251	1130
182	251	1124
183	252	1120
184	253	1115
185	253	1111
186	254	1106
187	255	1101
188	255	1096
189	256	1092
190	256	1087
191	257	1083
192	257	1078
193	258	1074
194	259	1070
195	260	1066
196	260	1062
197	261	1058
198	261	1054
199	262	1050
200	263	1045
201	263	1041
202	264	1037
203	264	1033
204	265	1030
205	266	1026
206	266	1022
207	267	1018
208	267	1014
209	268	1010
210	269	1006
211	269	1002
212	270	998
213	271	995
214	272	993
215	272	989
216	273	986
217	273	982
218	274	978
219	275	975
220	275	971
221	276	967
222	276	964
223	277	961
224	278	957
225	278	954
226	279	951
227	279	947
228	280	944
229	281	940
230	281	937
231	282	934
232	282	930
233	283	927
234	283	924
235	284	921
236	285	918
237	285	914
238	286	911
239	287	908
240	287	905
241	288	902
242	288	899
243	289	896
244	289	893
245	290	890
246	291	887
247	291	884
248	292	881
249	292	877
250	293	874
251	293	871
252	294	868
253	294	865
254	295	862
255	295	859
256	296	857
257	297	854
258	297	851
259	298	848
260	298	846
261	299	843
262	310	869
263	311	867
264	311	864
265	312	861
266	312	858
267	313	855
268	313	853
269	314	850
270	315	847
271	315	844
272	316	842
273	316	839
274	317	836
275	317	833
276	318	831
277	318	828
278	319	825
279	320	823
