iter	Passed	Remaining
0	143	143674
1	145	72745
2	147	49167
3	149	37349
4	152	30313
5	153	25505
6	156	22135
7	158	19601
8	159	17617
9	163	16162
10	165	14896
11	168	13876
12	170	12937
13	172	12118
14	174	11439
15	176	10844
16	178	10315
17	180	9849
18	182	9413
19	184	9024
20	186	8683
21	188	8381
22	190	8102
23	192	7834
24	194	7589
25	196	7361
26	198	7144
27	199	6942
28	201	6753
29	203	6566
30	204	6398
31	205	6227
32	207	6066
33	208	5916
34	209	5774
35	210	5639
36	211	5512
37	212	5389
38	214	5277
39	215	5169
40	216	5069
41	218	4977
42	219	4888
43	220	4800
44	222	4714
45	223	4629
46	224	4545
47	225	4465
48	226	4389
49	227	4321
50	228	4248
51	229	4177
52	229	4107
53	230	4042
54	232	3992
55	234	3946
56	235	3895
57	236	3841
58	237	3795
59	239	3745
60	239	3692
61	240	3641
62	241	3592
63	242	3544
64	243	3497
65	246	3481
66	247	3443
67	247	3397
68	249	3359
69	249	3320
70	250	3281
71	251	3246
72	252	3211
73	253	3177
74	254	3144
75	256	3112
76	257	3083
77	258	3058
78	259	3027
79	260	3000
80	261	2972
81	263	2949
82	264	2920
83	265	2892
84	265	2860
85	266	2833
86	267	2804
87	268	2779
88	268	2753
89	269	2728
90	270	2703
91	271	2679
92	272	2655
93	273	2633
94	274	2610
95	275	2591
96	276	2571
97	277	2551
98	278	2532
99	279	2512
100	280	2493
101	280	2471
102	282	2459
103	284	2450
104	285	2432
105	286	2414
106	287	2396
107	288	2382
108	289	2365
109	290	2352
110	291	2338
111	293	2328
112	294	2314
113	296	2300
114	297	2290
115	302	2304
116	304	2297
117	305	2283
118	306	2267
119	307	2251
120	307	2237
121	309	2223
122	309	2206
123	310	2193
124	311	2179
125	312	2166
126	313	2155
127	314	2141
128	315	2132
129	316	2120
130	317	2108
131	319	2099
132	320	2088
133	321	2077
134	322	2065
135	323	2053
136	324	2041
137	324	2028
138	325	2016
139	326	2005
140	327	1993
141	328	1982
142	328	1970
143	329	1961
144	330	1951
145	331	1939
146	332	1929
147	333	1919
148	334	1910
149	335	1901
150	336	1892
151	337	1883
152	338	1873
153	339	1863
154	340	1854
155	340	1844
156	341	1834
157	342	1825
158	343	1815
159	344	1806
160	344	1796
161	345	1788
162	346	1779
163	347	1770
164	348	1762
165	349	1753
166	349	1745
167	351	1738
168	352	1732
169	353	1726
170	355	1724
171	356	1717
172	358	1711
173	358	1703
174	359	1696
175	360	1689
176	362	1683
177	363	1678
178	365	1674
179	366	1668
180	367	1661
181	368	1658
182	370	1652
183	371	1645
184	372	1638
185	372	1631
186	373	1625
187	374	1618
188	375	1611
189	376	1604
190	377	1598
191	378	1593
192	379	1587
193	380	1581
194	381	1574
195	382	1568
196	383	1561
197	384	1555
198	384	1549
199	385	1542
200	386	1536
201	387	1530
202	388	1524
203	389	1518
204	390	1512
205	390	1506
206	391	1501
207	393	1500
208	395	1496
209	396	1492
210	397	1486
211	398	1481
212	399	1476
213	400	1471
214	401	1466
215	402	1460
216	403	1456
217	404	1451
218	405	1445
219	406	1440
220	407	1435
221	408	1430
222	409	1425
223	410	1421
224	411	1418
225	412	1414
226	413	1409
227	415	1405
228	416	1400
229	417	1396
230	417	1391
231	418	1386
232	419	1381
233	420	1376
234	421	1371
235	422	1366
236	423	1362
237	424	1357
238	424	1353
239	425	1348
240	426	1344
241	427	1339
242	428	1334
243	429	1330
244	430	1325
245	431	1321
246	431	1316
247	432	1312
248	433	1307
249	434	1303
250	435	1298
251	436	1294
252	436	1289
253	437	1285
254	439	1282
255	440	1279
256	441	1276
257	442	1273
258	444	1272
259	445	1269
260	447	1265
261	448	1263
262	449	1259
263	451	1257
264	452	1254
265	453	1250
266	454	1247
267	455	1244
268	456	1240
269	457	1237
270	458	1234
271	459	1230
272	460	1226
273	461	1222
274	462	1218
275	463	1215
276	464	1211
277	464	1207
278	465	1203
279	466	1200
280	467	1196
281	468	1194
282	469	1190
283	470	1187
284	471	1184
285	472	1180
286	473	1177
287	474	1173
288	475	1170
289	476	1166
290	477	1162
291	478	1159
292	478	1155
293	479	1152
294	480	1148
295	481	1145
296	483	1143
297	484	1140
298	485	1137
299	486	1134
300	487	1133
301	488	1130
302	490	1127
303	490	1124
304	491	1120
305	492	1117
306	493	1115
307	495	1112
308	496	1109
309	497	1107
310	498	1105
311	500	1104
312	502	1103
313	503	1100
314	505	1098
315	506	1095
316	507	1093
317	508	1089
318	509	1086
319	509	1083
320	510	1080
321	511	1077
322	513	1076
323	514	1073
324	515	1070
325	516	1068
326	517	1065
327	518	1062
328	519	1059
329	520	1056
330	521	1053
331	521	1050
332	522	1047
333	523	1044
334	524	1041
335	525	1038
336	526	1036
337	527	1034
338	529	1031
339	530	1028
340	530	1026
341	531	1023
342	532	1020
343	533	1017
344	534	1014
345	535	1011
346	536	1009
347	537	1006
348	538	1003
349	539	1001
350	540	1000
351	544	1002
352	545	999
353	546	996
354	547	994
355	548	991
356	548	988
357	549	985
358	550	983
359	551	980
360	552	978
361	553	975
362	554	972
363	555	969
364	556	968
365	557	965
366	558	962
367	559	960
368	560	957
369	561	955
370	562	953
371	562	950
372	563	947
373	564	944
374	565	942
375	566	939
376	566	936
377	567	934
378	568	931
379	569	929
380	570	927
381	571	924
382	572	922
383	573	919
384	574	917
385	575	914
386	576	912
387	576	909
388	577	907
389	578	904
390	579	902
391	580	899
392	580	897
393	581	894
394	582	892
395	583	890
396	584	887
397	585	885
398	586	883
399	587	881
400	588	879
401	589	876
402	590	874
403	591	871
404	591	869
405	592	867
406	593	864
407	594	862
408	595	860
409	596	857
410	596	855
411	597	853
412	598	850
413	599	848
414	600	846
415	601	844
416	602	841
417	602	839
418	603	837
419	604	835
420	605	832
421	606	830
422	607	828
423	608	826
424	609	824
425	609	821
426	610	819
427	611	817
428	612	815
429	613	813
430	614	810
431	615	808
432	615	806
433	616	804
434	617	802
435	618	800
436	619	797
437	620	795
438	620	793
439	621	791
440	622	789
441	623	786
442	624	784
443	624	782
444	625	780
445	626	778
446	627	776
447	628	774
448	629	771
